#{"t_start": 1585566834.3447664, "env_id": "Reacher2Dof-v0"}
r,l,t
-10.923823,150,2.441029
-12.489206,150,2.828202
-12.696165,150,3.212148
-20.241374,150,3.600109
-10.940082,150,3.988467
-16.114952,150,4.382916
-16.162294,150,4.779375
-5.702762,150,5.169577
-14.829044,150,7.11163
-7.347731,150,7.502108
-23.944279,150,7.892875
-34.913915,150,8.283827
-3.95582,150,8.676519
-23.738313,150,9.07344
-19.382161,150,9.471046
-15.792753,150,9.86797
-1.243275,150,11.597527
-11.020609,150,11.998696
-8.369694,150,12.404027
-21.162246,150,12.801075
-16.049693,150,13.198375
-15.483735,150,13.599143
-30.852612,150,13.99092
-17.522117,150,14.382871
0.947076,150,14.781219
-19.228714,150,16.484469
-13.126052,150,16.880611
-3.105059,150,17.27805
-25.130801,150,17.671996
-8.880454,150,18.069181
-34.012886,150,18.464965
-29.292203,150,18.857896
-18.160222,150,19.251932
-10.705075,150,20.945643
-19.27179,150,21.343094
-2.596247,150,21.738893
-33.035717,150,22.137761
-3.619952,150,22.535485
-45.062857,150,22.927141
-22.426938,150,23.319918
-32.462579,150,23.716455
-29.29847,150,25.612159
-16.274072,150,26.01067
-13.594269,150,26.406229
-2.790681,150,26.797744
-23.079864,150,27.194795
-13.39613,150,27.58499
-11.612806,150,27.987424
-19.918028,150,28.38641
17.337118,150,28.782386
-20.915806,150,30.489857
-19.262952,150,30.887172
1.33894,150,31.284019
-6.31889,150,31.681372
-23.064254,150,32.077404
-22.68495,150,32.475338
-9.927504,150,32.866378
-5.373412,150,33.261032
-23.383002,150,35.096714
-19.846806,150,35.492574
-20.852825,150,35.890077
-6.964642,150,36.279835
-3.31571,150,36.67738
-13.180392,150,37.071896
-25.819795,150,37.469455
-6.997111,150,37.868014
-24.2347,150,39.732414
-36.508869,150,40.127012
-8.058829,150,40.536429
-20.427365,150,40.931799
-28.93854,150,41.327201
-33.13296,150,41.721991
-3.825168,150,42.113275
-15.763178,150,42.504931
-5.969962,150,42.890434
-1.420132,150,44.602447
-10.399197,150,44.995966
-9.82878,150,45.392886
-17.948443,150,45.786695
-9.710999,150,46.173547
-19.59609,150,46.563751
-14.089087,150,46.957214
-15.085771,150,47.344027
-6.920278,150,49.04283
-26.055259,150,49.434181
-16.490957,150,49.832301
-16.052627,150,50.222806
-12.507558,150,50.61323
-25.323739,150,51.002469
-21.144215,150,51.387004
0.024963,150,51.775844
-4.389635,150,53.617401
