#{"t_start": 1585561342.0216491, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-14.33728,150,2.438839
-19.731741,150,2.772756
-22.624409,150,3.104414
-6.008688,150,3.435643
-21.93931,150,3.771386
-47.569728,150,4.097963
7.133839,150,4.428914
-32.164109,150,4.754628
-39.19892,150,6.46941
-5.534649,150,6.800608
-11.342222,150,7.134649
-18.318959,150,7.477893
-25.188576,150,7.808741
-17.051671,150,8.143131
-20.871051,150,8.471746
-36.526054,150,8.804493
-18.322091,150,10.370406
-9.973526,150,10.702182
1.94993,150,11.042303
-21.917298,150,11.373554
-2.030237,150,11.704575
-20.794622,150,12.040749
-0.11003,150,12.370975
-6.504255,150,12.7045
-23.901686,150,13.033812
-7.973364,150,14.56949
-7.845281,150,14.900741
-22.312695,150,15.231515
3.305412,150,15.564139
-24.357528,150,15.897705
-12.601715,150,16.229269
-10.226311,150,16.557557
-16.552047,150,16.887849
-6.235199,150,18.432852
-15.405632,150,18.763988
-1.156598,150,19.092473
-6.075621,150,19.426939
-28.943631,150,19.761089
-42.894576,150,20.090668
-4.915045,150,20.421781
0.903619,150,20.751526
-7.563127,150,22.321873
0.851307,150,22.656507
-28.944557,150,22.984624
-0.871539,150,23.315793
-25.2645,150,23.649198
-14.390389,150,23.981093
-12.370134,150,24.309481
4.045463,150,24.63926
-23.433069,150,24.96591
-27.693096,150,26.519598
-15.334233,150,26.851127
-28.447469,150,27.183608
3.567851,150,27.515057
-12.519726,150,27.846321
-2.824171,150,28.176787
-5.173416,150,28.509861
-20.682307,150,28.836312
3.028258,150,30.395919
-27.038732,150,30.728004
-34.175173,150,31.057518
-31.437917,150,31.388709
-40.434922,150,31.722831
-34.759154,150,32.056563
-7.318934,150,32.392622
-37.285487,150,32.731894
1.38164,150,34.302117
-14.274904,150,34.640238
-26.933756,150,34.97864
-15.154149,150,35.318595
-19.56224,150,35.657722
-6.547286,150,35.996927
-2.853457,150,36.330465
-28.70772,150,36.669429
-10.714194,150,37.009157
-9.229513,150,38.574556
-14.615057,150,38.913279
-13.870691,150,39.250207
-29.91778,150,39.594518
-9.471831,150,39.929824
-2.521889,150,40.268683
-15.310113,150,40.611195
-10.568753,150,40.943504
-35.461306,150,42.528871
-0.420349,150,42.864899
-16.069477,150,43.207481
-22.312373,150,43.546278
-10.029953,150,43.886476
-37.903133,150,44.229753
-23.455122,150,44.564024
-27.502401,150,44.905555
-14.668691,150,46.679503
-10.049347,150,47.018703
-26.389164,150,47.356827
-19.031967,150,47.694285
3.199315,150,48.02836
-12.860604,150,48.367895
-5.156531,150,48.699563
-8.992201,150,49.034814
-6.921227,150,49.370525
-7.382711,150,50.921873
3.625844,150,51.263593
-4.110832,150,51.60498
-1.000967,150,51.942324
-14.504164,150,52.2792
-12.320953,150,52.612319
-48.894644,150,52.950196
-9.935198,150,53.284093
-27.624943,150,54.829655
-0.328051,150,55.168134
-0.035314,150,55.508347
-28.384925,150,55.846543
-13.951953,150,56.190968
-19.178682,150,56.52761
-27.253969,150,56.8633
-21.561338,150,57.198918
-17.579083,150,58.763574
1.83651,150,59.101487
-26.750916,150,59.43934
-4.373365,150,59.782721
-8.022005,150,60.121222
-4.840732,150,60.454289
-29.8227,150,60.790851
-11.755491,150,61.124925
-20.816918,150,61.459815
-6.669374,150,63.0696
-38.745231,150,63.408775
-12.200098,150,63.740817
-7.009634,150,64.076628
-3.169915,150,64.411748
-7.214124,150,64.752377
-32.802659,150,65.084493
-17.608514,150,65.421915
9.474534,150,66.964365
2.536918,150,67.297218
-7.887224,150,67.637734
-2.789576,150,67.980996
-22.57706,150,68.316385
9.570517,150,68.655811
-17.826582,150,68.992362
4.505784,150,69.32814
-23.922395,150,71.000014
-1.405236,150,71.337876
-15.136539,150,71.675679
-8.441089,150,72.012927
-40.552451,150,72.347167
-30.208399,150,72.680681
-16.365634,150,73.013386
3.650888,150,73.348686
-17.180284,150,73.685034
19.920246,150,75.363095
-11.730228,150,75.705907
-18.981209,150,76.043696
-7.244002,150,76.377157
-14.631281,150,76.712986
-24.520936,150,77.046739
-18.208255,150,77.378325
-60.769669,150,77.710995
-1.77961,150,79.252161
-21.809342,150,79.588606
1.989456,150,79.925356
-17.582905,150,80.258926
-2.116273,150,80.597952
-18.71634,150,80.937848
3.200937,150,81.277126
-16.083106,150,81.61729
-0.638176,150,83.266603
-41.71905,150,83.612219
-25.351284,150,83.954162
-29.348994,150,84.292246
-6.983393,150,84.635246
-10.912855,150,84.972804
-13.388821,150,85.308591
-14.082195,150,85.646091
5.85466,150,85.980343
-4.146719,150,87.557309
-18.263817,150,87.908146
-21.529112,150,88.2417
-15.741189,150,88.587773
1.767718,150,88.922915
-15.543194,150,89.262629
-6.675526,150,89.597436
-30.25205,150,89.926356
-13.115854,150,91.464656
-17.176664,150,91.804647
-10.099734,150,92.134574
-9.415951,150,92.474125
-21.44534,150,92.81275
-1.232458,150,93.147621
-16.885108,150,93.486742
-20.495272,150,93.824796
-20.757895,150,95.360604
5.851864,150,95.701071
-11.32022,150,96.031939
-34.959821,150,96.368696
5.317139,150,96.698206
-3.954458,150,97.034212
-0.760902,150,97.369072
-2.127701,150,97.699482
-24.283209,150,98.038867
10.418801,150,99.613045
-10.041188,150,99.948782
6.04152,150,100.292372
-3.97715,150,100.631185
7.102236,150,100.966031
