#{"t_start": 1586173978.066974, "env_id": "Pendulum-v0"}
r,l,t
-784.822842,200,0.865999
-1216.894962,200,1.019686
-1195.693764,200,1.175844
-962.124055,200,1.33093
-1361.017818,200,1.487634
-1368.976659,200,1.645339
-1783.18285,200,1.799838
-1843.643627,200,1.952322
-1374.65122,200,2.109831
-961.854602,200,2.263934
-969.185423,200,2.422228
-765.679411,200,2.579433
-883.396681,200,3.141518
-783.971042,200,3.301884
-979.986251,200,3.458616
-850.031988,200,3.617177
-999.338532,200,3.772666
-1195.74534,200,3.927787
-1098.604693,200,4.082179
-1294.9269,200,4.240293
-1081.191421,200,4.399541
-1621.187477,200,4.555472
-1375.980993,200,4.705039
-1716.500694,200,4.858398
-1166.384968,200,5.018708
-1670.944365,200,5.553859
-1503.999193,200,5.712332
-1664.345749,200,5.871267
-1158.665915,200,6.030369
-1434.650342,200,6.184363
-1331.602004,200,6.33836
-1169.417972,200,6.496229
-1151.50144,200,6.650938
-1028.531781,200,6.808016
-1442.519439,200,6.962125
-1136.947194,200,7.120426
-1195.800126,200,7.274932
-994.218043,200,7.811398
-1508.829412,200,7.970065
-1626.897765,200,8.123146
-1100.63191,200,8.281237
-1766.881703,200,8.438682
-1124.196216,200,8.597189
-1337.009234,200,8.752207
-1562.012726,200,8.907901
-1595.930345,200,9.065054
-1386.413438,200,9.218773
-1742.355979,200,9.374548
-1542.839603,200,9.524583
-1728.81138,200,9.681644
-1531.336278,200,10.204521
-1519.50571,200,10.361717
-1873.455461,200,10.517826
-1522.916769,200,10.676101
-1550.719249,200,10.830121
-1764.508524,200,10.987084
-1480.87745,200,11.143093
-1572.681779,200,11.302582
-1761.986062,200,11.461474
-1875.365949,200,11.619737
-1801.560226,200,11.776295
-1800.927327,200,11.933016
-1738.865154,200,12.462087
-1881.56273,200,12.614533
-1668.029717,200,12.773667
-1800.487115,200,12.93171
-1529.432701,200,13.087372
-1254.661797,200,13.246115
-1530.754821,200,13.404257
-1774.797552,200,13.561175
-1776.628651,200,13.717966
-1542.800528,200,13.873564
-1553.166409,200,14.031525
-1476.389599,200,14.186412
-1606.419912,200,14.342507
-1794.517777,200,14.871666
-1799.418122,200,15.031499
-1817.280622,200,15.19019
-1817.211443,200,15.344254
-1595.612613,200,15.499167
-1720.929495,200,15.657443
-1582.345156,200,15.812739
-1712.91731,200,15.971804
-1850.321262,200,16.130373
-1765.610963,200,16.284541
-1698.163427,200,16.441893
-1640.838153,200,16.598923
-1762.195503,200,17.13272
-1653.935203,200,17.286844
-1685.589733,200,17.444302
-1629.17023,200,17.603959
-1761.835765,200,17.756493
-1720.739506,200,17.916859
-1817.683337,200,18.07356
-1813.63298,200,18.229967
-1673.587633,200,18.386847
-1646.914947,200,18.542541
-1660.733333,200,18.701048
-1703.266794,200,18.854954
-1637.956567,200,19.008343
-1705.583473,200,19.528376
-1669.571691,200,19.687523
-1628.525213,200,19.842322
-1578.585287,200,20.000109
-1621.518856,200,20.156753
-1633.032416,200,20.31291
-1606.154732,200,20.464834
-1516.629804,200,20.618707
-1630.1989,200,20.777874
-1563.279656,200,20.93617
-1561.851431,200,21.095192
-1496.554979,200,21.249711
-1545.786365,200,21.768868
-1471.394249,200,21.925314
-1429.671403,200,22.079635
-1422.460341,200,22.237516
-1519.463235,200,22.395756
-1420.232831,200,22.553656
-1454.50561,200,22.705652
-1439.055547,200,22.864869
-1531.06946,200,23.022007
-1363.560019,200,23.178077
-1364.693836,200,23.336767
-1494.164759,200,23.494494
-1135.863378,200,23.647957
