,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1580.7594869999998,-879.0100769999999,-1290.489554,-1315.854634,-1048.609041,-1179.771019,-1424.0162890000001,-753.39851,-1069.264884,-822.16661,-1136.3340105,200
1,-1247.244678,-749.9552679999999,-1416.773866,-1085.3686460000001,-1293.3600720000002,-1454.569172,-962.602931,-1163.7178800000002,-1127.33563,-962.842973,-1146.3771116,400
2,-1336.629174,-863.804277,-1188.754891,-1370.1535390000001,-1333.3812990000001,-1066.475944,-1171.844584,-1206.441352,-864.443666,-1083.1548369999998,-1148.5083563,600
3,-1175.323447,-935.024389,-1247.670783,-1480.279064,-892.8237359999999,-1279.4019759999999,-969.131527,-868.3833199999999,-886.64595,-784.822842,-1051.9507033999998,800
4,-1161.156178,-879.6195339999999,-1308.594377,-970.9272109999999,-1254.5480699999998,-858.1978650000001,-1163.898689,-901.286509,-917.386434,-896.65279,-1031.2267657,1000
5,-1239.87242,-1694.94427,-976.64818,-958.7860710000001,-1064.275774,-1098.652042,-956.377567,-765.911854,-895.824322,-917.9602039999999,-1056.9252703999998,1200
6,-887.674362,-1126.701628,-1161.034096,-747.889546,-964.4582630000001,-824.511667,-1111.632848,-868.673191,-1068.638526,-1702.828944,-1046.4043071,1400
7,-1171.9595259999999,-889.255673,-859.895333,-867.1217019999999,-873.668842,-867.148092,-1066.53522,-1051.733665,-1711.483612,-1216.8949619999999,-1057.5696627,1600
8,-1585.811228,-1623.114311,-1290.016865,-1731.178421,-979.871765,-1133.638818,-1156.282867,-1615.8341369999998,-853.535915,-852.210671,-1282.1494998,1800
9,-1313.5756279999998,-883.803951,-1473.015244,-774.337049,-1243.10975,-1277.652922,-1707.505373,-1054.272966,-859.714441,-1560.396461,-1214.7383785000002,2000
10,-1776.9184940000002,-1244.382742,-1075.403315,-1116.02926,-1284.876301,-1435.108587,-770.453725,-1064.740977,-1627.8152910000001,-739.240986,-1213.4969678000002,2200
11,-1181.256076,-1066.916178,-999.472516,-1140.353071,-1563.282025,-769.314611,-1162.6314029999999,-1727.274015,-890.6379029999999,-1195.693764,-1169.6831562000002,2400
12,-981.04539,-1357.393057,-1835.4839670000001,-1336.344797,-1267.572952,-857.490369,-1303.1324359999999,-1293.724143,-855.0530550000001,-1059.312126,-1214.6552292000001,2600
13,-1739.7720550000001,-968.247761,-1287.603188,-1156.175444,-1213.1175349999999,-1325.344202,-1183.9371210000002,-888.55795,-1024.2705019999999,-1521.418027,-1230.8443785,2800
