#{"t_start": 1586182587.6792507, "env_id": "Pendulum-v0"}
r,l,t
-1099.897364,200,1.001858
-858.370517,200,1.250812
-856.502205,200,1.498898
-859.126345,200,1.742154
-1005.126323,200,1.990668
-769.297397,200,2.232085
-1081.74644,200,3.025269
-1671.863008,200,3.26937
-1619.423918,200,3.519369
-1352.377856,200,3.763356
-1168.200752,200,4.014468
-1265.312426,200,4.261572
-1347.839209,200,5.029733
-1604.896027,200,5.276812
-1032.48529,200,5.524669
-1071.065541,200,5.770083
-1550.479945,200,6.015259
-1231.6174,200,6.259638
-992.002224,200,7.044772
-767.155759,200,7.296003
-1472.618625,200,7.543169
-879.463434,200,7.789007
-1607.07905,200,8.032507
-1653.202707,200,8.276973
-1145.023427,200,8.523223
-1015.011379,200,9.283164
-1070.017683,200,9.529999
-1455.404279,200,9.782124
-1581.388021,200,10.02705
-1088.948803,200,10.274634
-1307.952965,200,10.522098
-1085.425972,200,11.311425
-1172.68377,200,11.565746
-1319.322907,200,11.817515
-1735.334857,200,12.06726
-1208.941905,200,12.318388
-1191.220316,200,12.565728
-1167.049359,200,13.341836
-1192.128486,200,13.586889
-1215.479141,200,13.833397
-1324.915688,200,14.081823
-1336.859709,200,14.33046
-1302.098406,200,14.58316
-1280.027643,200,15.364881
-1207.374872,200,15.61682
-1212.689038,200,15.867494
-1275.365177,200,16.120605
-1351.715649,200,16.370453
-1436.959128,200,16.625967
-1356.677613,200,16.876168
-1347.740393,200,17.647007
-1325.804956,200,17.891268
-1488.312343,200,18.142582
-1444.775929,200,18.398118
-1353.341419,200,18.65408
-1263.045705,200,18.906708
-1398.954509,200,19.690464
-1368.865701,200,19.942292
-1421.902564,200,20.189029
-1354.438075,200,20.447483
-1370.420255,200,20.701683
-1321.81641,200,20.954437
