,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
0,-1645.677479,-859.427916,-1294.6176779999998,-1548.374489,-1168.0830019999999,-1169.52101,-1347.115463,-985.026197,-1007.724343,-882.2702220000001,-1190.7837799000001,200
1,-1300.535897,-883.2123429999999,-1538.673234,-1099.055586,-1145.404326,-1514.23292,-1113.036333,-1006.195559,-968.06174,-865.9300910000001,-1143.4338028999998,400
2,-1261.3835550000001,-853.577166,-1216.192677,-1172.2432939999999,-1463.579574,-1145.881717,-1072.961121,-1073.032875,-805.207657,-881.153561,-1094.5213197,600
3,-1182.719626,-907.511256,-1224.4267949999999,-1542.300392,-965.6076539999999,-1069.221497,-1167.463384,-861.6868199999999,-967.494609,-813.537637,-1070.1969669999999,800
4,-1179.346324,-803.963299,-1455.556264,-1202.772572,-1069.566923,-1118.194548,-957.6823810000001,-897.4899210000001,-893.330327,-926.4831320000001,-1050.4385691,1000
5,-1429.569232,-1456.461876,-1062.668682,-1099.8973640000002,-1054.007406,-847.948995,-753.538708,-973.960142,-961.637651,-1059.959406,-1069.9649462,1200
6,-1203.216427,-1395.101187,-1037.152783,-876.36056,-850.7147689999999,-857.980318,-969.296444,-811.563996,-1157.933138,-1351.677784,-1051.0997406,1400
7,-829.260951,-1805.461651,-1171.759426,-971.2333990000001,-990.449107,-860.6134630000001,-952.472393,-1102.23355,-1432.510956,-1445.624274,-1156.1619170000001,1600
8,-1073.541698,-1005.069781,-1289.9147169999999,-876.668784,-1357.68835,-980.0673109999999,-1059.40357,-1050.716999,-758.044173,-869.2995400000001,-1032.0414923,1800
9,-1524.7286800000002,-1802.4143600000002,-871.80703,-1174.529432,-1116.075847,-1065.228765,-895.468536,-882.0447310000001,-857.8299089999999,-1136.6157560000001,-1132.6743046,2000
10,-760.28878,-869.6034109999999,-1101.399156,-1067.288211,-973.745931,-1058.97324,-968.8267289999999,-972.326611,-864.855263,-1737.7098489999998,-1037.5017180999998,2200
11,-945.8919300000001,-974.6008720000001,-889.0767310000001,-1011.694823,-858.895016,-971.369924,-760.779593,-1158.2519949999999,-1655.741565,-983.9566289999999,-1021.0259078000001,2400
12,-916.795293,-889.986776,-1216.6003050000002,-773.0155599999999,-884.4275869999999,-909.9355539999999,-868.4478939999999,-1657.990732,-1210.32454,-963.2118009999999,-1029.0736041999999,2600
13,-879.372092,-1394.961687,-760.961538,-858.370517,-785.320561,-916.951948,-1726.196535,-1212.682716,-1068.730433,-945.379254,-1054.8927281,2800
14,-1028.434397,-1677.295344,-1007.1907689999999,-765.396389,-863.1666740000001,-1678.027934,-967.6917789999999,-873.582058,-1076.5724109999999,-1348.578716,-1128.5936471,3000
15,-756.701597,-982.516403,-852.1952550000001,-891.5796339999999,-1737.4919,-1159.303111,-912.865784,-881.2887630000001,-1421.597769,-1679.483397,-1127.5023613,3200
16,-1487.690534,-1701.4602079999997,-1313.816552,-1543.1500640000002,-1040.455379,-1125.007737,-1338.780702,-1445.216326,-738.108567,-1141.873636,-1287.5559705,3400
17,-1168.3466720000001,-859.121432,-1741.385248,-1023.2796890000001,-908.8980220000001,-1212.820951,-1532.076825,-915.3151619999999,-1073.978683,-1786.868787,-1222.2091470999999,3600
18,-1596.669234,-987.44824,-870.438167,-974.0081949999999,-1242.243327,-1717.8955039999998,-832.578805,-867.475209,-1618.170174,-883.1708060000001,-1159.0097661,3800
19,-1069.438034,-1228.191646,-864.6509060000001,-1202.339019,-1640.17257,-745.27423,-1293.1212970000001,-1582.332029,-828.262903,-988.482523,-1144.2265157,4000
20,-1079.395877,-879.5308630000001,-1347.942109,-1498.834707,-976.0972820000001,-1154.041881,-1817.2517699999999,-996.988556,-962.773511,-1121.760132,-1183.4616687999999,4200
21,-1210.381744,-1651.3933769999999,-1720.6091780000002,-856.5022050000001,-1067.928844,-1700.835797,-904.999084,-1013.275177,-1069.90903,-1294.105693,-1248.9940129,4400
22,-1506.360995,-1051.563236,-979.4845939999999,-1268.793324,-1636.3128,-754.092486,-1168.459287,-1173.591335,-977.67241,-1567.342331,-1208.3672798,4600
23,-820.645446,-1027.592041,-1211.411972,-1709.043507,-894.0762550000001,-1174.113858,-1237.5642599999999,-1275.631024,-1625.3354550000001,-808.407878,-1178.3821696,4800
24,-1012.8964619999999,-1262.6431949999999,-1681.515933,-1210.3119689999999,-1123.694416,-965.353802,-1425.045799,-988.9514429999999,-849.49485,-1054.091477,-1157.3999345999998,5000
25,-1719.261693,-968.2907339999999,-1349.3484050000002,-1449.913327,-1216.189466,-1409.4249029999999,-1194.506281,-859.022096,-1285.580952,-1297.328436,-1274.8866292999999,5200
