#{"t_start": 1585567302.9560297, "env_id": "Reacher2Dof-v0"}
r,l,t
-41.505478,150,4.894679
-9.832908,150,5.394015
-1.321601,150,5.896376
6.987617,150,6.389172
-23.851222,150,6.880814
-14.319483,150,7.387153
-29.518423,150,7.880164
-8.344464,150,8.377837
-36.673674,150,10.396041
-17.83516,150,10.887591
-8.529082,150,11.389944
-20.982069,150,11.881585
-8.513091,150,12.378043
13.157036,150,12.893562
-13.158341,150,13.39256
8.648463,150,13.890143
-38.013868,150,15.787068
-23.786347,150,16.239893
-22.691011,150,16.708374
-9.007882,150,17.168951
-14.99957,150,17.62347
-3.754493,150,18.08664
-9.391765,150,18.537737
-66.968322,150,18.991124
-89.024332,150,19.452665
-40.170253,150,21.203097
-18.490663,150,21.667223
-13.499299,150,22.125045
-17.304791,150,22.577281
-22.408933,150,23.040555
5.397956,150,23.492784
9.698079,150,23.943631
-28.093252,150,24.4124
-3.312216,150,26.166251
-19.728795,150,26.626733
1.259211,150,27.078646
-6.610605,150,27.531851
2.197657,150,27.995236
-18.356682,150,28.453005
-12.787757,150,28.90994
-2.827958,150,29.375399
3.949515,150,31.126152
-8.745266,150,31.5898
-12.774716,150,32.050379
-7.717671,150,32.509178
0.286387,150,32.990385
-5.942102,150,33.450602
-22.180801,150,33.90743
-6.004908,150,34.36899
8.584519,150,34.820762
4.853514,150,36.585345
-1.919797,150,37.045069
-12.941493,150,37.505294
-12.171794,150,37.969101
-11.091775,150,38.421518
7.94487,150,38.874981
-9.300885,150,39.338234
-27.443833,150,39.791413
-11.053337,150,41.540996
-11.538905,150,41.998841
-16.462733,150,42.452054
-11.3803,150,42.912493
-2.279198,150,43.364374
-37.590873,150,43.819346
-7.401049,150,44.286948
-5.868798,150,44.74518
-30.020163,150,46.49251
-22.46815,150,46.943985
-0.724714,150,47.396801
-1.712242,150,47.857757
1.703769,150,48.315423
-0.161858,150,48.775829
0.30651,150,49.249179
-11.382806,150,49.702139
-18.78554,150,50.168249
-8.641009,150,51.902329
-15.236103,150,52.360415
-7.687916,150,52.826691
8.566027,150,53.286126
-0.49936,150,53.747193
-14.389354,150,54.210295
-16.648372,150,54.66233
-10.44595,150,55.124537
-8.056408,150,56.870631
3.971575,150,57.329246
2.09757,150,57.798385
-7.81109,150,58.254107
-3.365271,150,58.711376
-14.74485,150,59.174531
0.018663,150,59.633702
0.568916,150,60.102496
-1.950387,150,61.844512
-3.471623,150,62.296939
-10.569157,150,62.757285
-20.14638,150,63.20977
-9.15091,150,63.663898
-19.559264,150,64.129839
-17.280136,150,64.587554
-16.100155,150,65.054217
2.618636,150,65.509365
-3.927047,150,67.253998
-10.154265,150,67.7147
-22.054844,150,68.168926
-8.356684,150,68.626582
-17.795103,150,69.093189
9.147898,150,69.548387
5.195038,150,70.009843
-7.774741,150,70.461315
-3.06473,150,72.200486
-14.638224,150,72.667917
5.142688,150,73.126029
4.782376,150,73.5823
-8.501577,150,74.042808
-14.752722,150,74.494885
14.994281,150,74.955956
-2.0664,150,75.408222
-3.007966,150,77.147315
-9.738057,150,77.610328
-5.503206,150,78.062584
5.674364,150,78.515943
3.212492,150,78.974937
-3.751298,150,79.425896
9.538634,150,79.886495
-6.153371,150,80.341007
-3.239684,150,80.798964
-1.22291,150,82.545671
-4.850016,150,82.996173
8.946945,150,83.448943
-8.089941,150,83.908602
6.969655,150,84.364169
-10.805068,150,84.827594
-18.886584,150,85.282839
3.432965,150,85.730985
10.943313,150,87.468103
12.929542,150,87.918388
-2.228858,150,88.382205
-4.153343,150,88.845975
-12.444586,150,89.301194
-13.739917,150,89.769019
7.180104,150,90.217975
1.239785,150,90.670982
10.702767,150,92.412469
-8.005419,150,92.867689
10.161823,150,93.323787
-13.319421,150,93.787548
10.435406,150,94.236469
-19.696174,150,94.693758
-13.724683,150,95.144516
-1.380359,150,95.593581
1.534025,150,96.056866
6.986356,150,97.795698
-5.650014,150,98.250938
-4.435282,150,98.712583
8.907358,150,99.166479
-9.343189,150,99.630563
-7.800046,150,100.085125
5.235301,150,100.539342
-11.068424,150,101.002725
-0.628956,150,102.726832
-1.390378,150,103.174795
0.314364,150,103.632331
3.97625,150,104.081196
-21.308809,150,104.54335
12.2967,150,104.996754
-13.708539,150,105.449138
4.881541,150,105.907339
