#{"t_start": 1585561756.8047242, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-24.613505,150,4.735684
-8.663937,150,5.187523
2.168498,150,5.639651
-9.49754,150,6.079658
-15.70176,150,6.516212
-32.298301,150,6.96322
14.738043,150,7.401644
-13.607424,150,7.844311
-13.439644,150,9.838694
-0.239737,150,10.270764
-26.062264,150,10.714436
-22.326227,150,11.152449
-3.86139,150,11.586508
-27.194179,150,12.030806
-7.398498,150,12.474936
-28.100585,150,12.913379
-23.172181,150,14.787182
-25.183379,150,15.219056
-11.673172,150,15.664241
-26.789498,150,16.112368
-11.348397,150,16.564425
-6.540392,150,17.016321
-5.646012,150,17.456958
-14.227266,150,17.900024
-9.596276,150,18.349574
-3.8602,150,20.225951
-23.075716,150,20.678546
-14.407478,150,21.12506
-27.179806,150,21.563934
-3.875898,150,22.016751
-5.52486,150,22.460621
4.322281,150,22.906728
-9.451542,150,23.356446
-12.432999,150,25.19419
-22.832263,150,25.638643
17.478919,150,26.072729
-16.496159,150,26.509056
-4.896783,150,26.948675
-11.65607,150,27.389447
-9.117172,150,27.824018
-7.591989,150,28.26736
1.743752,150,30.13563
-10.618267,150,30.576999
-11.899511,150,31.013848
-20.368063,150,31.449719
1.022953,150,31.898675
2.219227,150,32.338697
-6.387751,150,32.783649
-20.764204,150,33.234676
-9.073668,150,33.672579
11.674039,150,35.573091
-14.203736,150,36.024262
-12.525015,150,36.47285
-7.808456,150,36.93084
-12.976136,150,37.371079
-13.139105,150,37.816002
9.195389,150,38.270089
-15.870447,150,38.720326
-19.585128,150,40.630533
9.821802,150,41.076058
7.153446,150,41.512976
-2.259267,150,41.966622
-14.216838,150,42.407137
5.957055,150,42.846948
2.106862,150,43.304169
10.642615,150,43.751419
-7.36039,150,45.619178
7.059287,150,46.061409
-11.640475,150,46.500228
4.249809,150,46.951137
-16.234882,150,47.400873
-11.040257,150,47.851048
8.816791,150,48.307582
-5.860926,150,48.756688
-2.579027,150,49.209015
-19.060278,150,51.105563
-7.656453,150,51.535569
1.625078,150,51.987899
-1.772891,150,52.431973
16.532793,150,52.880283
-2.286951,150,53.335367
6.377571,150,53.769609
-14.976566,150,54.217188
-29.909435,150,56.113612
-14.444931,150,56.563755
2.579266,150,57.018652
-1.907146,150,57.464413
4.683732,150,57.906566
-4.619747,150,58.357114
-11.910034,150,58.790705
10.676054,150,59.242402
-13.375131,150,61.076638
13.62768,150,61.511571
2.402361,150,61.956511
-16.628945,150,62.401863
-1.82461,150,62.844911
-19.887743,150,63.30205
-18.18451,150,63.744527
0.654606,150,64.203098
-10.394145,150,64.649736
2.948622,150,66.48846
9.28333,150,66.935271
-8.160491,150,67.385251
-8.189189,150,67.838023
14.56816,150,68.294289
-4.292355,150,68.757284
9.024664,150,69.207823
-0.649537,150,69.642396
-15.138622,150,71.472135
3.270483,150,71.918186
3.11258,150,72.363406
6.508602,150,72.813352
-10.372406,150,73.26622
5.182271,150,73.702584
14.767086,150,74.147593
0.620461,150,74.582477
-0.896669,150,76.436182
7.790808,150,76.896437
8.927115,150,77.342439
-8.239813,150,77.782924
-9.117212,150,78.232882
7.93444,150,78.676214
-6.827415,150,79.120132
-11.636773,150,79.566172
-4.194829,150,80.006892
-32.103145,150,81.882349
-14.278269,150,82.329962
-14.220544,150,82.776712
23.338359,150,83.237119
-4.923974,150,83.677888
-18.311812,150,84.134111
8.701761,150,84.578378
-1.177057,150,85.029286
-8.050836,150,86.938992
1.504282,150,87.384397
-17.090399,150,87.844518
-1.537751,150,88.304666
2.929695,150,88.760639
-20.494628,150,89.218208
1.914153,150,89.658772
-5.806498,150,90.103289
-3.589574,150,91.998255
-2.739002,150,92.448332
-10.607727,150,92.901895
-14.234581,150,93.350435
11.982374,150,93.790509
-0.875285,150,94.24065
-8.677185,150,94.681584
-14.685628,150,95.127355
7.141776,150,95.582643
-1.701327,150,97.415019
-6.947702,150,97.857269
-21.076374,150,98.297304
-7.533577,150,98.700201
29.063659,150,99.110424
16.489713,150,99.513022
0.288743,150,99.914749
22.81735,150,100.332658
5.987295,150,101.942343
3.385586,150,102.346937
6.953574,150,102.76489
11.899901,150,103.172683
-7.945902,150,103.584524
2.908671,150,103.988572
