#{"t_start": 1585567821.7943306, "env_id": "Reacher2Dof-v0"}
r,l,t
-0.039302,150,1.954957
-25.264225,150,2.367851
5.553008,150,2.782005
-14.561274,150,3.175768
7.590338,150,3.603542
-22.602781,150,3.98974
-14.479237,150,4.379339
-28.136049,150,4.767658
-32.279071,150,6.765263
-27.967806,150,7.146311
-8.279324,150,7.528584
-20.750507,150,7.924113
-26.25062,150,8.319202
0.437593,150,9.688752
-15.786459,150,10.080718
-18.74835,150,10.476338
-7.073477,150,12.296882
-23.499508,150,12.695956
-11.333985,150,13.095045
-16.891836,150,13.492932
0.054967,150,13.885244
-47.82891,150,14.278691
-4.319761,150,14.67069
-17.89899,150,15.059024
-30.317347,150,15.448303
-14.710088,150,17.271004
-19.674293,150,17.667315
-7.805133,150,18.756176
-32.862858,150,19.141745
9.046527,150,19.527041
-2.609783,150,19.916992
-19.891822,150,20.32806
-19.793379,150,20.730758
3.655622,150,22.53538
-30.730742,150,22.931841
-25.109835,150,23.320562
-21.538816,150,23.710728
-10.570728,150,24.103062
-11.118307,150,24.500664
-17.960399,150,24.899436
-30.598419,150,26.035339
-5.005563,150,27.722864
-19.706128,150,28.103114
-8.870038,150,28.474298
-7.084072,150,28.846417
-15.653121,150,29.223426
-6.079152,150,29.604314
-5.309747,150,29.984338
-9.120057,150,30.365628
5.31837,150,30.745254
-11.580602,150,32.434187
-40.982218,150,32.805491
-13.126215,150,33.186821
-24.696743,150,33.569591
-6.369163,150,34.703484
-8.157865,150,35.084428
5.103797,150,35.471087
9.453943,150,35.857054
-3.131545,150,37.64497
2.839654,150,38.038591
-10.774214,150,38.437249
7.453255,150,38.828684
-4.931752,150,39.21507
-9.39342,150,39.600254
5.840888,150,39.992612
-16.006786,150,40.392823
-19.422134,150,42.198623
-8.274043,150,42.596633
-11.440536,150,43.723243
-25.213248,150,44.113811
12.110555,150,44.506344
-15.891109,150,44.895584
-20.661896,150,45.286097
-33.97177,150,45.680656
-4.831282,150,46.078424
2.562272,150,47.909821
11.25399,150,48.31068
-13.172951,150,48.705421
-11.675319,150,49.093876
-23.974249,150,49.488536
0.206592,150,49.883512
3.555944,150,51.023154
-1.23472,150,51.401558
0.846943,150,53.149835
4.83376,150,53.55163
-0.014176,150,53.947684
0.420885,150,54.350207
-16.212222,150,54.748621
-1.951172,150,55.147992
-16.389688,150,55.548529
9.040023,150,55.951732
-24.742449,150,57.78734
7.691504,150,58.183832
-7.651279,150,58.584356
-26.669621,150,58.984215
-12.421752,150,60.111552
2.298321,150,60.484103
-6.028381,150,60.860462
-0.691475,150,61.252525
9.343579,150,61.644255
7.245983,150,63.450075
6.127769,150,63.842812
-16.628824,150,64.236583
3.272564,150,64.634489
-4.602425,150,65.026876
-6.733023,150,65.423115
-2.068008,150,65.810244
-10.30788,150,66.196618
-21.409116,150,67.989506
-10.776773,150,69.102333
-8.033769,150,69.480798
-6.398059,150,69.864451
10.092129,150,70.257194
-10.610142,150,70.649819
2.881815,150,71.042951
-13.676749,150,71.435401
-0.205725,150,73.246824
-10.911545,150,73.642788
-17.439265,150,74.033476
-19.028025,150,74.430571
-10.998891,150,74.811168
-6.616284,150,75.195922
-20.538277,150,76.315518
-1.412904,150,76.697202
2.605154,150,77.087065
-11.138348,150,78.826071
4.697286,150,79.213782
-27.691428,150,79.596923
-9.154575,150,79.980879
-14.411074,150,80.371517
-18.135731,150,80.761577
-15.794449,150,81.151167
-17.492677,150,81.542491
1.060452,150,83.290354
-4.676419,150,83.676876
-5.991132,150,84.062326
5.120968,150,85.176211
-15.944126,150,85.547713
7.059803,150,85.927823
-15.072723,150,86.311332
0.317784,150,86.69518
-7.517055,150,88.375811
-7.091279,150,88.74956
2.390272,150,89.123079
-3.916273,150,89.506283
-6.562193,150,89.890896
1.77208,150,90.276603
-7.167456,150,90.653454
0.286111,150,91.027666
-20.196153,150,91.401601
-12.700951,150,93.823987
0.094609,150,94.216419
-12.243374,150,94.615574
4.498171,150,95.003882
9.488294,150,95.389099
14.391182,150,95.777632
-17.680394,150,96.166876
-4.231991,150,96.56382
12.758011,150,98.366095
-6.615095,150,98.753952
1.113484,150,99.141831
-2.535292,150,99.531487
-14.009734,150,99.913352
-14.651399,150,101.032207
-10.751894,150,101.399683
-12.020756,150,101.776637
-19.937606,150,103.505083
-9.865311,150,103.864072
-3.416794,150,104.224003
-15.681813,150,104.59651
-4.164422,150,104.967533
-10.330919,150,105.34545
-20.142496,150,105.734218
-7.697244,150,106.121487
-2.44328,150,106.506412
0.400979,150,108.220727
-17.480124,150,108.588271
-30.188604,150,109.686891
7.440171,150,110.061306
8.726947,150,110.436373
-21.146573,150,110.801647
-7.39159,150,111.167168
8.448833,150,111.532934
-5.839773,150,113.184278
11.363796,150,113.549592
-1.355847,150,113.925366
-2.975726,150,114.301234
-23.357749,150,114.674159
7.935069,150,115.040047
5.955336,150,115.398229
-7.056785,150,115.764611
-7.922474,150,118.183592
6.43492,150,118.582001
-10.758277,150,118.972309
-2.565789,150,119.361474
-19.560812,150,119.755814
-0.654999,150,120.149465
-4.947125,150,120.547299
-26.407686,150,120.941326
-7.224082,150,121.341054
-1.213538,150,123.156909
-4.203065,150,123.55456
20.305495,150,123.953745
9.505089,150,124.350894
-8.15122,150,125.460778
-17.862089,150,125.837619
9.867781,150,126.21649
-6.68201,150,126.600114
-6.741817,150,128.322013
-8.861824,150,128.699755
-11.096014,150,129.069135
1.780213,150,129.4374
-12.984119,150,129.8226
7.741398,150,130.207373
-6.558534,150,130.58716
-5.040868,150,130.957453
-0.634759,150,132.715963
-1.046977,150,133.091029
5.560058,150,134.209678
2.08162,150,134.627279
1.026751,150,135.036895
9.893095,150,135.446671
-11.813914,150,135.859724
-0.152696,150,136.268658
-9.384272,150,136.68634
-9.049007,150,138.561888
-3.52479,150,138.9692
12.781145,150,139.370466
-16.74966,150,139.775501
1.585622,150,140.184525
-13.427537,150,140.59792
-7.603253,150,141.007735
-0.940589,150,142.156733
6.895724,150,144.020391
-12.06891,150,144.43031
0.257791,150,144.844722
0.282652,150,145.251561
-13.906388,150,145.683023
-23.991188,150,146.112823
8.601045,150,146.540239
-17.305226,150,146.954222
-4.649409,150,148.839708
-3.375265,150,149.253498
-9.998266,150,149.682763
6.922085,150,150.111382
6.217006,150,151.249219
6.522663,150,151.626302
0.218074,150,152.017259
-7.746821,150,152.413128
1.868299,150,152.811027
-15.207022,150,154.620847
-11.498402,150,155.00825
-1.102672,150,155.392805
-12.2841,150,155.780933
-5.456553,150,156.167111
-11.831468,150,156.555879
-18.556306,150,156.947384
-12.770587,150,157.339574
17.162771,150,159.117445
-6.712259,150,160.206157
-27.378534,150,160.584598
-0.999196,150,160.985669
4.453488,150,161.381579
-10.006482,150,161.788344
-11.399719,150,162.198894
-8.709516,150,162.597392
-2.103759,150,164.510161
1.676994,150,164.90064
-7.630991,150,165.308101
7.231711,150,165.718871
-13.167893,150,166.12774
-20.136708,150,166.543693
-21.393155,150,166.925903
0.285069,150,168.015549
-11.764855,150,168.384541
-13.815695,150,170.055462
11.683176,150,170.432732
-1.112263,150,170.809723
-16.241419,150,171.17945
6.084729,150,171.546415
-2.492988,150,171.91674
-3.08474,150,172.285283
21.945412,150,172.652238
-1.528611,150,174.321779
30.810254,150,174.694756
-0.372313,150,175.067424
-3.511518,150,176.160417
2.977024,150,176.539824
-12.026797,150,176.917185
5.319504,150,177.314487
-19.396438,150,177.706324
-0.409365,150,179.509691
7.831677,150,179.90668
-1.887729,150,180.299451
-9.424099,150,180.68936
-5.797176,150,181.081616
-1.359314,150,181.473995
1.048341,150,181.864801
-7.085353,150,182.255936
-11.750585,150,182.643589
6.818522,150,185.141196
-7.749732,150,185.512452
11.057283,150,185.897607
-9.704482,150,186.285696
14.790794,150,186.661375
-9.074024,150,187.032393
-13.408669,150,187.417162
-9.67144,150,187.785884
-12.881586,150,189.506137
5.8827,150,189.89113
-20.869358,150,190.27607
6.90217,150,190.65572
-13.204647,150,191.022483
5.676949,150,191.404619
-1.214032,150,192.489942
-1.397159,150,192.86655
17.892729,150,194.648505
-0.021759,150,195.042749
-4.802471,150,195.434478
6.470636,150,195.826856
-9.645107,150,196.220261
12.526228,150,196.612641
5.194357,150,197.009037
6.505471,150,197.402483
0.063356,150,197.791455
7.828382,150,199.590656
5.104603,150,199.979064
-4.461472,150,201.084974
5.075184,150,201.455303
4.791124,150,201.837795
-10.470772,150,202.226035
0.833806,150,202.605762
7.853189,150,202.97683
-4.525862,150,204.689516
-6.549074,150,205.064706
27.898948,150,205.441797
1.117781,150,205.842438
-4.375287,150,206.231065
1.996623,150,206.609799
-7.061424,150,206.978363
6.662388,150,207.347865
1.029482,150,209.777641
-5.2912,150,210.16382
-5.012855,150,210.550542
1.95769,150,210.932518
-6.971067,150,211.316308
2.035944,150,211.701594
9.959992,150,212.0864
6.226468,150,212.477133
3.846447,150,212.86288
6.499659,150,214.612146
0.694282,150,214.995305
11.638807,150,215.378415
