#{"t_start": 1585562235.6290915, "env_id": "ReacherBulletEnv-v0"}
r,l,t
3.125803,150,2.040501
-22.493059,150,2.402877
-25.10667,150,2.748987
-25.906891,150,3.090763
-14.069516,150,3.423349
-19.022813,150,3.757579
-10.589398,150,4.095801
-15.492881,150,4.434452
-27.281993,150,6.073375
-10.664495,150,6.385642
2.944176,150,6.696224
-12.890464,150,7.007543
-4.472671,150,7.318832
-11.754116,150,8.592474
-30.008157,150,8.910769
-5.846913,150,9.228959
-10.810347,150,10.766257
-3.807816,150,11.079989
-13.943737,150,11.394147
-31.886802,150,11.70916
-28.33461,150,12.022968
-0.459923,150,12.33727
-45.579243,150,12.651623
-1.017144,150,12.966206
-19.001109,150,13.281177
-11.748818,150,14.802379
-12.422111,150,15.117732
-1.828829,150,16.137059
-11.72229,150,16.457878
-13.779732,150,16.778775
-15.771702,150,17.095238
6.742957,150,17.428013
-4.251409,150,17.762235
18.89268,150,19.356218
-9.561642,150,19.677442
-25.508317,150,19.990585
-7.322945,150,20.302993
-37.376536,150,20.618228
-10.076926,150,20.933004
-9.10546,150,21.261231
-32.863888,150,22.303394
-27.505079,150,23.846771
-0.866638,150,24.153415
-22.309029,150,24.460141
-15.582305,150,24.76586
-7.249154,150,25.076566
-20.81142,150,25.391804
-10.973384,150,25.726712
-31.335918,150,26.053632
-13.513717,150,26.37241
-28.039863,150,27.975047
8.287836,150,28.296556
3.595893,150,28.618664
3.921444,150,28.940686
-11.717873,150,29.985233
-25.007935,150,30.303129
-10.565803,150,30.63353
-37.430567,150,30.955895
-16.341325,150,32.564293
4.595617,150,32.881918
6.270574,150,33.218089
-18.485909,150,33.547983
-13.765579,150,33.885932
-12.637779,150,34.204187
-17.263201,150,34.522053
-25.437577,150,34.84753
-7.200403,150,36.685061
-6.280245,150,37.049171
-18.074964,150,38.123953
-14.28694,150,38.454138
-11.148202,150,38.786741
-13.965753,150,39.129801
-13.163008,150,39.479113
2.990797,150,39.827659
-17.965307,150,40.177922
-8.093479,150,41.972375
-8.020187,150,42.323121
-12.362948,150,42.676796
-5.818129,150,43.037658
-19.376521,150,43.387266
-9.928031,150,43.730674
2.048582,150,44.800928
0.934403,150,45.135786
7.034109,150,46.8589
-13.396479,150,47.211125
-14.781962,150,47.556006
-3.376646,150,47.908191
-13.310851,150,48.261475
-14.746763,150,48.618835
-14.759538,150,48.971554
-21.215304,150,49.333002
-19.007786,150,51.164596
-11.61988,150,51.513473
-18.687354,150,51.871535
-13.856028,150,52.231236
0.085376,150,53.306444
-10.908679,150,53.67317
6.559907,150,54.035441
-16.33778,150,54.378672
-0.297081,150,54.722645
-6.996832,150,56.509679
-13.666366,150,56.848233
-6.686378,150,57.209012
-26.094236,150,57.575315
-20.193279,150,57.937624
